macro,component,selected_connection,unsigned_hash,lexical_index,endpoint_count,graph_fingerprint,existing_semantic_case,geometry_status
turret_arg_m_laser_02_mk1_macro,turret_arg_m_laser_02_mk1,con_laser_02,0xc9442e72bbe5380,2,2,a79d400d57ec0aaa6d9cfe3ba7741a62c7a898e9430ee90f6f80b61eb7486410,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_arg_m_plasma_01_mk1_macro,turret_arg_m_plasma_01_mk1,con_standard_01,0x679c43e529f14519,1,2,6b8e85a002955e458d142d57a9dfc74880b262acb91032c261073a7e2d0573b2,,general composition unresolved
turret_arg_m_plasma_02_mk1_macro,turret_arg_m_plasma_02_mk1,con_standard_01,0x679c43e529f14519,1,2,602e5fa58016ea5ced8d580390913c8da710dea69dea12d8d7f520ba9680a560,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_arg_m_shotgun_01_mk1_macro,turret_arg_m_shotgun_01_mk1,con_standard_01,0x679c43e529f14519,1,1,bbdbe370166fd83b70497c99d0f0912177fecf1afdc13663c55c99d2104be94c,,general composition unresolved
turret_arg_m_shotgun_02_mk1_macro,turret_arg_m_shotgun_02_mk1,con_standard_01,0x679c43e529f14519,1,1,59ca2be46530e3b004111b6cd6946efbe17bd376276a19e524d41e3f645a4ec4,,general composition unresolved
turret_bor_l_disruptor_01_mk1_macro,turret_bor_l_disruptor_01_mk1,con_laser_02,0xc9442e72bbe5380,2,3,c435309f9c8f2596105de995e437cbd95939d99e2048abd8828a479d85e7a84b,,general composition unresolved
turret_bor_l_flak_01_mk1_macro,turret_bor_l_flak_01_mk1,con_laser_01,0xc9442e72bbe5383,1,1,77fc24b0f19842e9e962df67fa36679053e6350f884afc4da4f4bc6bc0ccd2ce,,general composition unresolved
turret_bor_l_laser_01_mk1_macro,turret_bor_l_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,f0972bb9f04bb6ceda9d15d6fbc28135926f1bdc836bf6b31b45f6d5e9ec4476,,general composition unresolved
turret_bor_m_arc_01_mk1_macro,turret_bor_m_arc_01_mk1,con_laser_01,0xc9442e72bbe5383,1,1,8b8884fd94171b00218986af1f131656b61eb488b7e24d6f60069a60960eb0c1,,general composition unresolved
turret_bor_m_arc_02_mk1_macro,turret_bor_m_arc_02_mk1,con_laser_02,0xc9442e72bbe5380,2,2,5f2693592988bf5b13eaf89243aa60b9a6cc3af3432bf6eb3d76d48140928c41,,general composition unresolved
turret_bor_m_laser_01_mk1_macro,turret_bor_m_laser_01_mk1,con_laser,0xbc56799719614bf,1,1,8ff346053974355573ee3463397a4e09a951ff7373591affc350b34b20bb864f,,general composition unresolved
turret_bor_m_laser_02_mk1_macro,turret_bor_m_laser_02_mk1,con_laser_02,0xc9442e72bbe5380,2,2,b44b1578543dac1d2a6708c828c260cda852e0afba57250953ef7823c6b5d87f,,general composition unresolved
turret_bor_m_railgun_01_mk1_macro,turret_bor_m_railgun_01_mk1,con_laser_01,0xc9442e72bbe5383,1,1,4b5f5249d234e5d7cce25e9fbbc27158784b12bbb8f734f6d5da0cecc44a0216,,general composition unresolved
turret_bor_m_railgun_02_mk1_macro,turret_bor_m_railgun_02_mk1,con_laser_01,0xc9442e72bbe5383,1,1,02876c71d810028259a03f9b5e3aaf8e379c37daee3f28ef1ca2348dc50a7d7b,,general composition unresolved
turret_gen_m_disabler_01_mk1_macro,turret_gen_m_disabler_01_mk1,con_laser,0xbc56799719614bf,1,1,3fda7d8464890ea5558fdcce8ef23187df0692b486bec0a5b52a665c6a3c4871,,general composition unresolved
turret_gen_m_gatling_01_mk1_macro,turret_gen_m_gatling_01_mk1,con_laser,0xbc56799719614bf,1,1,5277c4af0b6859c75ceceb0be377510ab9289da7317f923d3e0cb1b284ca1f58,,general composition unresolved
turret_gen_m_shieldpierce_01_mk1_macro,turret_gen_m_shieldpierce_01_mk1,con_laser,0xbc56799719614bf,1,1,461ae9ec811b4b30d5be8d350e3dc66974ee0d5be2f81383231978fb660f8699,,general composition unresolved
turret_gen_m_yacht_01_mk1_macro,turret_gen_m_yacht_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,b85bd4deeb86ed05164c0bff303cff27cc888532bd417b50b7e519348d308b36,,general composition unresolved
turret_kha_l_beam_01_mk1_macro,turret_kha_l_beam_01_mk1,con_laser_01,0xc9442e72bbe5383,1,1,04804f2671d02e5471ed64b75add5658ebd89cf5b447da21dde5ea2b833016c7,,general composition unresolved
turret_kha_m_beam_01_mk1_macro,turret_kha_m_beam_01_mk1,connection_laser01,0x401747dd2e7fda30,1,1,473270318eff85a134d136d6dce0aad7f4dea948373e93b7bb564df0549942b0,,general composition unresolved
turret_par_l_beam_01_mk1_macro,turret_par_l_beam_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,4a986e895a3d3a7da99ddedc7ff12bfd9842385311321e3343c0c28213970ce1,depth4_dual_translation,existing bounded composition; not blanket LIVE acceptance
turret_par_l_laser_01_mk1_macro,turret_par_l_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,ec68447d6b1554fcda592602a7c12e90a3eb7692495914690e23ecd255daffea,depth4_dual_translation,existing bounded composition; not blanket LIVE acceptance
turret_par_l_plasma_01_mk1_macro,turret_par_l_plasma_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,ff1670c22480149dc33d4b5bc629a3905beae2596bb0f4037e947e5ab8a6dce6,depth4_dual_translation,existing bounded composition; not blanket LIVE acceptance
turret_par_m_beam_01_mk1_macro,turret_par_m_beam_01_mk1,con_beam_02,0x5836806a11999f04,2,2,c8d5fac4d5d36117847c8d1d79f21f6c9b58bc8a80566bb815f63121ce952dc5,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_par_m_beam_02_mk1_macro,turret_par_m_beam_02_mk1,con_beam_02,0x5836806a11999f04,2,2,bbb03998013a15435731f353ba070e986daa984746e8c46fc4a9d3035be3cb8f,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_par_m_gatling_01_mk1_macro,turret_par_m_gatling_01_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,5ed953153bb5e73a11a82884726461c0d2dfaf388e58507a423ae0598f6ddfd1,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_par_m_gatling_02_mk1_macro,turret_par_m_gatling_02_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,9b1bab2a2f72a53ea522d55900bbe9299a823f097e44afaab7e70a81dbef70be,,general composition unresolved
turret_par_m_laser_01_mk1_macro,turret_par_m_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,14f3e0a73956b5c63254ec2baf63339832f4288c5f7ec153000400dd3cc2468b,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_par_m_laser_02_mk1_macro,turret_par_m_laser_02_mk1,con_laser_02,0xc9442e72bbe5380,2,2,433f0e30c3cc174b2f5a6c1c7c7e0b2050a2bb90c45a742a165003369cf87d67,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_par_m_plasma_01_mk1_macro,turret_par_m_plasma_01_mk1,con_standard_01,0x679c43e529f14519,1,2,3a6c3213e961390b6fb8b3418babcc24c885f188db0dad5a62f0f8cf2e1928a0,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_par_m_plasma_02_mk1_macro,turret_par_m_plasma_02_mk1,con_standard_01,0x679c43e529f14519,1,2,ba04d64be36e7f08b667c9ddffe859789838b06695a9f598b351d101a547316b,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_par_m_shotgun_01_mk1_macro,turret_par_m_shotgun_01_mk1,con_standard_01,0x679c43e529f14519,1,1,c1126c45dd99c1a0a76c8cf149898026a58ed2088c9932ce82d91bb155ba3b36,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_par_m_shotgun_02_mk1_macro,turret_par_m_shotgun_02_mk1,con_standard_01,0x679c43e529f14519,1,1,3dcd442d9d8bc06609244176c7b1698bc6660d1f233849b280172e2a2228d2ed,,general composition unresolved
turret_pir_l_battleship_01_laser_01_mk1_macro,turret_pir_l_battleship_01_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,257624e5429519cb1d086dacdac53af99a2d3f4db40dfab03b71a3b28b3632ea,depth4_p6_translation,existing bounded composition; not blanket LIVE acceptance
turret_pir_m_battleship_01_gatling_02_mk1_macro,turret_pir_m_battleship_01_gatling_02_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,9b1bab2a2f72a53ea522d55900bbe9299a823f097e44afaab7e70a81dbef70be,,general composition unresolved
turret_spl_l_beam_01_mk1_macro,turret_spl_l_beam_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,a0e351ecc38d2010aaaeb07deff52dc927fc7adbb4d2599415b93f1fd5e47c71,depth4_zero_translation,existing bounded composition; not blanket LIVE acceptance
turret_spl_l_laser_01_mk1_macro,turret_spl_l_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,ce5d3122b457cca00a0c89973005c1449090cff302ba84b01ab3efa893c5b351,depth4_zero_translation,existing bounded composition; not blanket LIVE acceptance
turret_spl_l_plasma_01_mk1_macro,turret_spl_l_plasma_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,90fc16410f0186a3987af8e5bf760f6b6cd4dc01366a7b7aac9f87fb6b31b8fe,depth4_zero_translation,existing bounded composition; not blanket LIVE acceptance
turret_spl_m_beam_01_mk1_macro,turret_spl_m_beam_01_mk1,con_beam_02,0x5836806a11999f04,2,2,af90482750e8e0f962a3d450eafd8d2426dde294eabc06f4151d8b76abfdc5b5,,general composition unresolved
turret_spl_m_beam_02_mk1_macro,turret_spl_m_beam_02_mk1,con_beam_02,0x5836806a11999f04,2,2,c9cb1fae3df610ba379be2f94c202cc0407b330bb6d3412234eb1c8f7991cce8,depth3_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_spl_m_flak_01_mk1_macro,turret_spl_m_flak_01_mk1,con_standard_01,0x679c43e529f14519,1,1,e14599121dddefc8dfab78f48dd342ece72fbb3148280289db96664495109b25,,general composition unresolved
turret_spl_m_flak_02_mk1_macro,turret_spl_m_flak_02_mk1,con_standard_01,0x679c43e529f14519,1,1,36651fb261fe7f1d34deae2dc9d3f8eba1fab12323b65a5057d5dff8c2a1c3b8,,general composition unresolved
turret_spl_m_gatling_01_mk1_macro,turret_spl_m_gatling_01_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,bd045c53266b2b23e98a4b2d8b16833ebb0347298455d37eb8b0d725e72192c0,,general composition unresolved
turret_spl_m_gatling_02_mk1_macro,turret_spl_m_gatling_02_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,df11201790ea0e6aba58ffc0d13570c2f5a74f82788e3752721fdb76bfe3da43,,general composition unresolved
turret_spl_m_laser_01_mk1_macro,turret_spl_m_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,6dacce8036792a68b3dbec7a4da817a99172b43fcc95f30adf1eb23406be6fe0,,general composition unresolved
turret_spl_m_laser_02_mk1_macro,turret_spl_m_laser_02_mk1,con_laser_02,0xc9442e72bbe5380,2,2,058ffaed6ce963346f1dfb84e63d986275b77759d51b1fa6d27605daa3a21cca,depth3_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_spl_m_plasma_01_mk1_macro,turret_spl_m_plasma_01_mk1,con_standard_01,0x679c43e529f14519,1,2,f039b2f19a95fef9831f39ee4539fd26f97cbc90224394935e8058a2c80f1f37,,general composition unresolved
turret_spl_m_plasma_02_mk1_macro,turret_spl_m_plasma_02_mk1,con_standard_01,0x679c43e529f14519,1,2,875fd5ea431de7eb7ff704919b0b213243edeeb7c2685f8e548fa9b638e0acab,depth3_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_spl_m_shotgun_01_mk1_macro,turret_spl_m_shotgun_01_mk1,con_standard_01,0x679c43e529f14519,1,1,f0177c6f38be103c84d5fd4efccf74f4415c8e69283ceb83f52eb07098390da1,,general composition unresolved
turret_spl_m_shotgun_02_mk1_macro,turret_spl_m_shotgun_02_mk1,con_standard_01,0x679c43e529f14519,1,1,74761714a38a6c0661af3b3062d9f904b1c6b5937000621a40f3c0cc2fae25a3,,general composition unresolved
turret_tel_l_beam_01_mk1_macro,turret_tel_l_beam_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,57644fbf27f7b7f99437d6eed7b4584f4b7cff4dc517645bdd38c30526bc49b7,,general composition unresolved
turret_tel_l_laser_01_mk1_macro,turret_tel_l_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,257624e5429519cb1d086dacdac53af99a2d3f4db40dfab03b71a3b28b3632ea,depth4_p6_translation,existing bounded composition; not blanket LIVE acceptance
turret_tel_l_plasma_01_mk1_macro,turret_tel_l_plasma_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,6e714da0eca2aafd61e57db680c08db727cd40fec692bd7eb71ab44e44eb8c80,,general composition unresolved
turret_tel_m_beam_01_mk1_macro,turret_tel_m_beam_01_mk1,con_beam_02,0x5836806a11999f04,2,2,7d8bb21f3f38dd45cc423bbe2fdf4e0ae9f2cdc38eaaa77f9b0bf5cc87f3cc50,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_tel_m_beam_02_mk1_macro,turret_tel_m_beam_02_mk1,con_beam_02,0x5836806a11999f04,2,2,bbb03998013a15435731f353ba070e986daa984746e8c46fc4a9d3035be3cb8f,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_tel_m_gatling_01_mk1_macro,turret_tel_m_gatling_01_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,fe22eefcee98eb526b4e84201370b233ec70325a65924fb8f74b5a3eb54e142f,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_tel_m_gatling_02_mk1_macro,turret_tel_m_gatling_02_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,9b1bab2a2f72a53ea522d55900bbe9299a823f097e44afaab7e70a81dbef70be,,general composition unresolved
turret_tel_m_laser_01_mk1_macro,turret_tel_m_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,733ebc336db522e5bc0f8cb86093755d21adf479d24f44c2003b605a7de20e3a,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_tel_m_laser_02_mk1_macro,turret_tel_m_laser_02_mk1,con_laser_02,0xc9442e72bbe5380,2,2,58b7feb240619d50e6507a9cd299bad86155dda1f46c204cc765c4f33d279d75,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_tel_m_plasma_01_mk1_macro,turret_tel_m_plasma_01_mk1,con_standard_01,0x679c43e529f14519,1,2,20021fbbdd761f090b11f6190cf5bb5e829b6d99b00dd551e78fc7a3e0c0f821,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_tel_m_plasma_02_mk1_macro,turret_tel_m_plasma_02_mk1,con_standard_01,0x679c43e529f14519,1,2,ba04d64be36e7f08b667c9ddffe859789838b06695a9f598b351d101a547316b,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_tel_m_shotgun_01_mk1_macro,turret_tel_m_shotgun_01_mk1,con_standard_01,0x679c43e529f14519,1,1,4e5f71da411ef4b164b5a2477610934b3f7487f86743dbcf40bb40f45e6693a9,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_tel_m_shotgun_02_mk1_macro,turret_tel_m_shotgun_02_mk1,con_standard_01,0x679c43e529f14519,1,1,2e39320df8d2458ddab377dee8a6a83e9425852360bd323fb2de30f518afe7b6,,general composition unresolved
turret_ter_l_beam_01_mk1_macro,turret_ter_l_beam_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,79c8064a206f07a9b385254c4ccc3ca50d942abf1b61258a849bdf0ce1adbfac,depth4_p8_translation,existing bounded composition; not blanket LIVE acceptance
turret_ter_l_gatling_01_mk1_macro,turret_ter_l_gatling_01_mk1,con_laser_01,0xc9442e72bbe5383,1,1,f28f1591a4abb1f576895e155e9e9ccf314be760d6b935e508e9d634a8b6be40,,general composition unresolved
turret_ter_l_laser_01_mk1_macro,turret_ter_l_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,5198cc4afd42b5619c8751cf56be1a93e9d5cc1c71f6631d8d9952c5a2837e92,,general composition unresolved
turret_ter_m_beam_01_mk1_macro,turret_ter_m_beam_01_mk1,con_beam_02,0x5836806a11999f04,2,2,b43e36b0ead87c476fe0a92641aadef0c882b5bd417b8503c33280aa037ba46f,,general composition unresolved
turret_ter_m_beam_02_mk1_macro,turret_ter_m_beam_02_mk1,con_beam_02,0x5836806a11999f04,2,2,e8933f8516be14144ae13042e0a93b2f0d57c3f396914c8e25b7c7d8e2f3e2a6,depth3_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_ter_m_gatling_01_mk1_macro,turret_ter_m_gatling_01_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,37d859643ce5545ca76027dbceb8d2c69769a5b31fead629adda57de4c8f71f5,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_ter_m_gatling_02_mk1_macro,turret_ter_m_gatling_02_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,df11201790ea0e6aba58ffc0d13570c2f5a74f82788e3752721fdb76bfe3da43,,general composition unresolved
turret_ter_m_laser_01_mk1_macro,turret_ter_m_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,65f3a8da2290302ac73ff4e7786c807ca1dd44dc0a077df363481c7fa870d248,depth5_additive_x_rotation,existing bounded composition; not blanket LIVE acceptance
turret_ter_m_laser_02_mk1_macro,turret_ter_m_laser_02_mk1,con_laser_02,0xc9442e72bbe5380,2,2,4fe1a681e12c3a1c56d0135da35a3340fc696972f4f109d13a5a37d9114d4a18,depth3_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_ter_m_laser_03_mk1_macro,turret_ter_m_laser_03_mk1,con_laser,0xbc56799719614bf,1,1,594dbb8aa7fee34ce1c44218dc4d510f6f032268cac7c098160f67349f68d2e1,,general composition unresolved
turret_ter_m_laser_04_mk1_macro,turret_ter_m_laser_04_mk1,con_laser_02,0xc9442e72bbe5380,2,2,a02fe05d64161769445cdeccb573d8d28ef447f5f5c79afc4912e31283ccb663,,general composition unresolved
turret_xen_l_laser_01_mk1_macro,turret_xen_l_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,c3ac96892f0a3cdc49dad1a15f8de630ffb72c438eb722db7ac3748c32aabbf1,,general composition unresolved
turret_xen_l_plasma_01_mk1_macro,turret_xen_l_plasma_01_mk1,con_laser_01,0xc9442e72bbe5383,1,1,c3991701479dcfb67c6b6d026f61b825b755a8aaefe4563169771e75b9ea48e5,,general composition unresolved
turret_xen_m_beam_02_mk1_macro,turret_xen_m_laser_02_mk1,con_laser_02,0xc9442e72bbe5380,2,2,3247074b679d160bf8f72afb01c47589f7c4985df2fdf3d973b760bfd0a8957c,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_xen_m_gatling_01_mk1_macro,turret_xen_m_gatling_01_mk1,con_laser,0xbc56799719614bf,1,1,bc8c88cfe3f49fb6c00701004bf23bbfa49b17553eb17732ea9f4bbdb05a9553,,general composition unresolved
turret_xen_m_gatling_02_mk1_macro,turret_xen_m_gatling_02_mk1,con_laser_02,0xc9442e72bbe5380,2,8,1546727f65e993ca03d90752e7bd28818a94c8d015c2b71c33efe8ddc7bc3199,,general composition unresolved
turret_xen_m_laser_01_mk1_macro,turret_xen_m_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,ede7cfa5791a4663d95bb6063f2d0fda1fdf1148e379b0e0d9dcd629e11a9af4,,general composition unresolved
turret_xen_m_laser_02_mk1_macro,turret_xen_m_laser_02_mk1,con_laser_02,0xc9442e72bbe5380,2,2,3247074b679d160bf8f72afb01c47589f7c4985df2fdf3d973b760bfd0a8957c,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_xen_xl_battleship_01_mk1_macro,turret_xen_xl_battleship_01_mk1,con_laser_01,0xc9442e72bbe5383,1,1,0bf4ad7394e873c2026c641af6e51a29cc6c36b3bc94b483acda88a4e7b87787,,general composition unresolved
